P1 P2 P3 P4 P5 P6 P7 P8
ENSG00000008196_LINE2_TFAP2B_D_N1 -0.133481528907124 1.931586253402 3.11110981232812 3.06592484328801 -1.08516518130618 -0.449963548775294 -2.16128407737131 -1.84827695763739
ENSG00000008197_LINE6_TFAP2D_D 1.32265702609817 -0.708119101762915 -2.28397151072857 -1.94569789490878 -0.239945833775168 0.797825480631664 0.666726468220651 1.59130831110892
ENSG00000087510_LINE7_TFAP2C_D_N3 -2.69516818698877 3.42389653806119 5.39455052946383 5.95040945079304 0.000564491493133415 0.628762842312978 -4.17716396426622 -5.66604442104399
ENSG00000116819_LINE19_TFAP2E_I -0.652982549083934 -0.091823254384736 0.243209737475916 0.131069184166881 -0.315311477010038 0.97593529244218 0.377845814049748 -0.460364787094394
ENSG00000137203_LINE29_TFAP2A_D_N3 0.0730747284778119 1.11071086425289 1.70466874028174 1.85546290153356 1.1938026648603 0.347552153255534 -1.98551498054655 -2.45177155197243
ENSG00000116017_LINE44_ARID3A_D_N1 -6.46544317018465 -3.92291039321786 -3.48888789045876 -4.1110167317426 -0.322037356597639 4.84682228317924 5.22241776104575 5.19577154634568
ENSG00000150347_LINE49_ARID5B_D_N1 3.93305030058529 4.79767051009367 2.97249940383197 1.0750812981125 -2.76938245523979 -3.22485790174775 -2.72710795574962 -1.36494199814477
ENSG00000179361_LINE51_ARID3B_I -4.38667042612625 -1.76674224980092 -0.590190842986816 0.922353879215543 1.91961985316981 1.6612526686774 0.335363409740885 -0.185986955106099
ENSG00000196843_LINE52_ARID5A_I 0.546375453508177 -1.25853168579428 -0.998943780249662 -0.642051766978505 1.25247161889732 0.688332449381854 -0.060683402764574 0.408105802681767
ENSG00000205143_LINE53_ARID3C_I -1.32915174407872 -2.0458890138117 -2.92033714869952 -3.31260069804442 0.0105209423205415 1.98526151595338 3.0174094259871 3.60027032610657
ENSG00000189079_LINE54_ARID2_I 5.07150737940114 2.27778247834358 1.48348317499073 0.27392540841128 -1.75463874941604 -3.42052285271385 -0.643588265763185 -0.554558956093976
ENSG00000137309_LINE57_HMGA1_D -6.26507351007938 -3.85951091421612 -3.41375928078937 -3.27768652999653 1.11902192994283 3.51902767255901 5.15588009989744 3.9635804664297
ENSG00000149948_LINE59_HMGA2_D 1.20854340327046 -0.243315939758088 -0.956998394601897 -1.00971174340933 0.286533762716795 -0.440190610613328 0.321775082474347 0.832069424738013
ENSG00000125952_LINE73_MAX_D_N10 0.730978469713777 -1.11806778946769 -1.66882757574171 -2.11753893726517 -7.12303731571015 -5.27795806740463 4.60195693546535 5.81581122618978
ENSG00000009950_LINE78_MLXIPL_D_N1 -1.07898003599794 -7.13962355997534 -7.99060967356326 -7.54642919415964 -4.93945651936274 -0.539500412579045 9.17388135361114 10.9168387403084
ENSG00000029153_LINE80_ARNTL2_I -0.394850906838286 -5.09484053423481 -6.40347862447029 -6.20640700187012 -7.61970181926907 -2.67601992606728 8.57766588937432 11.0051085837123
ENSG00000063438_LINE82_AHRR_I 0.577925259826161 -0.974887687471362 -1.5588642326553 -2.21544487084448 -2.09306484155085 0.442794691704891 2.22866461063782 2.75645581046509
ENSG00000068323_LINE84_TFE3_D_N1 -0.241279041727727 -5.33327751162515 -6.6573650054948 -6.28196545328839 -6.0615763717392 -2.19874771726452 8.37060144557717 11.138115162962
ENSG00000069812_LINE86_HES2_I -1.10405834647441 0.0935969462432071 -0.022840084893119 -0.118682885665018 -4.56764037621276 -2.37094447828967 2.18288717901137 2.86484049893578
