id	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols
GE110618	-3.30132382603397	8.02689483882248	-22.1225507044132	9.05191375729823e-09	0.000217832870551463	8.92913934039001	Mchr1
GE35481	-3.15806589310519	10.5959923907631	-19.7405155990596	2.32874228341105e-08	0.000217832870551463	8.43787269662751	Gnmt
GE39091	-3.20757251505507	8.84719910820687	-19.512236702403	2.56404681466783e-08	0.000217832870551463	8.38454271503484	Cela1
GE1420092	-2.61897833401786	6.48351439397341	-18.8406510152518	3.42525733927291e-08	0.000218248834515122	8.22043195015234	Gm4956
GE35212	-3.44705231449187	8.50632545390799	-17.3899121423586	6.63278085535448e-08	0.000338099371320839	7.82537684527196	Chi3l3
GE1480509	3.02313704173365	9.07921259275396	15.8190852067924	1.4432303882649e-07	0.000536561198662162	7.32452445423496	Slitrk6
GE40249	-2.9409363657532	9.66238987902046	-15.7788281546317	1.47366437424379e-07	0.000536561198662162	7.31055224081752	Cst8
GE129670	-2.34923917107459	8.43051890454341	-15.3403211960651	1.85588382649763e-07	0.000591261388574314	7.15433966746605	Amhr2
GE35536	-2.28895053775935	7.93871123976578	-14.9430075472144	2.2995359352379e-07	0.000651203026460094	7.0061946753772	Hba-x
GE40473	-2.13320756902509	10.6322324924477	-14.7058376459394	2.6200966912919e-07	0.000667784043709566	6.91462215446095	Gdpd2
GE137152	-2.23534475137956	9.12847819273746	-13.7032599031986	4.65265551839568e-07	0.00104582142112744	6.49959227633903	Tecrl
GE117772	-2.34319405975366	9.85748546123173	-13.6077959745962	4.92402285617346e-07	0.00104582142112744	6.45757132730043	NA
GE36516	-2.21975222959583	10.6310251387592	-13.4038572623816	5.56481994760653e-07	0.0010910043538819	6.36625589472462	Pon1
GE1534030	-1.92332859597829	8.83818804246795	-12.9885360841594	7.17774005660291e-07	0.00130670757730456	6.17355811644924	NA
GE1397464	-2.18592062558249	8.67870452635544	-12.438708890846	1.01718026587914e-06	0.0017283248957641	5.90377694018962	2410004I01Rik
GE34981	-2.5578351380846	6.90443521680012	-11.8724906764895	1.47842950662443e-06	0.00222419951090879	5.60716541391984	NA
GE1546557	-1.92507933011372	8.57482068252432	-11.8127436417428	1.53936650186608e-06	0.00222419951090879	5.57469156147795	Fam46b
GE36249	-1.70587267815045	7.92131167957152	-11.7084847243526	1.65250732108964e-06	0.00222419951090879	5.51746797776219	Tnfrsf4
GE32970	-1.79999286786295	10.5919971263792	-11.7035457040389	1.65809199620461e-06	0.00222419951090879	5.51473944839944	NA
GE36953	-2.20471144735729	9.86241054743688	-11.448954981125	1.97649472939248e-06	0.00247865150671108	5.37188588279398	Map3k6
GE35520	2.35725877154496	8.29633241317931	11.4020479299648	2.04228358147027e-06	0.00247865150671108	5.34508647581413	H2-Ab1
GE129185	2.48083508831244	7.0360248464765	11.326017379744	2.15415285866266e-06	0.00249558608676069	5.30132527227688	NA
GE125883	-2.16596051798473	7.75636334537809	-11.0650478194003	2.59320716590056e-06	0.0028160594769525	5.14802452534622	NA
GE1455696	-1.91826079515384	8.52108442964773	-11.0339966107654	2.65176079753836e-06	0.0028160594769525	5.12945945748273	Itga1
GE1391627	2.09505780366494	9.90998564538203	10.6668968599073	3.4676714719388e-06	0.00343688608135638	4.90456934382172	H2-Ab1
GE119079	-1.45678283918435	7.56404011179288	-10.6520614345283	3.50606340939561e-06	0.00343688608135638	4.89526707354078	Marco
GE42325	-1.43477450090838	7.54442633141185	-10.5865845864958	3.6812424842672e-06	0.00347495656283401	4.85400814225669	Cth
GE1554533	-1.64688239670353	8.79484096918251	-10.2499289115386	4.75010664725479e-06	0.00414201373697017	4.63653760180081	NA
GE1556997	2.04606309341254	8.06350227800764	10.2092599834193	4.90106341195453e-06	0.00414201373697017	4.609648553755	Cym
GE36351	2.32126807973242	9.51829091591777	10.1830911151288	5.00101073429576e-06	0.00414201373697017	4.59227463625845	H2-Eb1
GE1528846	-1.42036929809337	9.65278445568189	-10.1735640722957	5.03795761941677e-06	0.00414201373697017	4.58593545870135	1110064A23Rik
GE35379	-1.44138782756728	10.020236525002	-10.1015621670291	5.32718959233039e-06	0.00424294003561639	4.53778285648649	F3
GE1520575	-1.43368447423046	8.21075734161846	-9.88988082881399	6.28992269860497e-06	0.00485791696422257	4.39369014720543	Scgb1c1
GE34627	-2.1697652479515	10.3051420101146	-9.74140528125668	7.08018419310221e-06	0.00530743101557635	4.29032253458522	Igfbp6
GE1406879	-1.7321536992685	8.77169434958841	-9.63422438387988	7.71908122452991e-06	0.00562103494770268	4.21449776394517	NA
GE32989	-1.55818453683179	6.54626116500757	-9.53431612851022	8.37262571228357e-06	0.00592481721786539	4.14289083082199	Ncf1
GE1542776	-1.39046029793959	7.80373528891935	-9.50140329564483	8.6011785247781e-06	0.00592481721786539	4.1191030416314	Samd4
GE130652	-1.75882439641892	6.12382655555039	-9.37527597844519	9.54332141217537e-06	0.00640080612716089	4.02702260476417	Mchr1
GE37488	1.70472715854816	8.97570699233786	9.16015053319801	1.14258118691421e-05	0.00746691454125192	3.8665304068178	Cpxm1
GE37329	-2.19744325239243	9.6696334446641	-9.00987923832354	1.29843291466016e-05	0.00827328992398589	3.75178607189155	Msln
GE131138	-1.45961935056653	8.42330348120141	-8.96507795154078	1.34935065934088e-05	0.00832960717910473	3.71714834357334	Slc25a29
