gene	baseMean	log2FoldChange	pvalue	padj
TNS1	26244.5	-8	6.200e-221	1.370e-216
SLC25A37	195757.6	-6.2	1.000e-130	1.105e-126
TRAK2	13529.9	-5.1	1.942e-117	2.216e-113
TSPO2	1800.8	-8.2	1.273e-111	3.465e-108
TXNIP	17597.1	-4.2	4.800e-108	2.121e-104
PKM	1976.4	7.1	7.348e-101	4.243e-97
CR1L	2068.2	-7	8.894e-101	4.402e-97
SMOX	3874.6	-6.8	1.011e-98	2.375e-95
WIPI1	1018.4	-3.8	2.513e-92	4.222e-89
SLC4A1	63651.4	-9	4.113e-90	1.058e-86
BTG2	8282.4	-4.8	5.718e-85	1.148e-81
C7orf73	6939.9	-3.2	4.018e-84	8.614e-81
RAD23A	10450.8	-3.1	1.665e-79	2.407e-76
ITSN1	1173.7	-5	3.302e-78	3.346e-75
SOX6	2724.6	-7.6	4.724e-77	5.917e-74
IRF9	258.8	-4.3	5.041e-75	7.030e-72
RP11-85G21.3	3063.1	-7.1	3.606e-74	3.986e-71
ISG20	3261.8	-6.6	1.865e-72	3.589e-69
PIGQ	7370.2	-3.7	4.263e-72	4.957e-69
STAT5A	962.2	7.1	5.715e-69	4.321e-66
ART4	1560.2	-9.5	5.598e-65	3.782e-62
KLHDC8A	1648.1	-6	7.671e-65	5.273e-62
SLC22A4	2867.3	-4.5	5.105e-65	7.690e-62
RAPGEF2	7579.3	-3.9	1.062e-64	1.138e-61
SMIM5	2302.1	-4.7	2.683e-64	2.371e-61
DMTN	16505.4	-3.4	1.615e-63	1.372e-60
CAPN5	797.6	-5	4.065e-63	2.478e-60
RP11-343N15.5	162.2	-3.8	2.137e-62	1.339e-59
SLC27A5	116.7	5.2	2.571e-62	1.493e-59
SLC25A39	98563.2	-3.6	4.348e-62	3.202e-59
CALCOCO1	15382.8	-4.8	1.626e-61	1.796e-58
RNF19A	6648.3	-3.9	2.650e-61	2.835e-58
HBA2	781957.4	-6.6	3.913e-60	4.059e-57
GCNT2	2813.2	-4.3	5.773e-60	4.368e-57
FZD3	217.2	6.2	5.147e-59	2.044e-56
MGST1	385.3	7.5	6.289e-59	3.428e-56
MICAL2	11231.7	-4	1.131e-58	5.745e-56
MARCH8	25353.1	-5	1.958e-58	1.326e-55
S100A4	2549.2	6.3	4.702e-58	2.265e-55
FAM214B	5742.8	-4.9	5.202e-58	4.452e-55
ARG1	5418.7	-8.3	1.080e-57	4.950e-55
KDM4C	2920.6	-2.4	1.441e-57	6.439e-55
OPTN	14737.2	-4.4	7.991e-58	6.439e-55
SP2	1226.4	-1.9	1.039e-56	2.762e-54
EGFL7	698.8	6.3	1.736e-56	6.783e-54
SLC2A1	41223.5	-4.4	1.021e-56	7.599e-54
HAGH	5024.2	-3.1	2.672e-56	1.463e-53
AQP1	1602.8	-9.3	1.001e-55	3.154e-53
MBNL2	6149.7	-3.4	7.267e-56	5.076e-53
TCP11L2	15354.7	-8.2	1.377e-55	5.176e-53
CLK3	8742.9	-4.4	4.986e-55	3.346e-52
RFX3	707.6	-2.6	9.012e-55	3.442e-52
SORBS1	1374.2	-3.8	9.297e-54	2.489e-51
TBC1D22B	3136.1	-4	7.425e-54	4.706e-51
FAM216A	145.8	5.3	6.392e-53	2.041e-50
BSDC1	9863	-3	4.978e-53	2.287e-50
MSN	3712.2	4.6	5.530e-53	2.496e-50
EZH1	2585.6	-3.4	9.356e-53	3.031e-50
YPEL4	4670.4	-5.4	7.691e-53	4.462e-50
SNX22	895.2	-3.7	1.730e-52	5.307e-50
MCCC2	634.1	5.3	3.740e-52	1.044e-49
GPI	2226.4	7.9	3.699e-52	2.067e-49
ARHGDIB	2010.6	4.9	7.063e-52	2.477e-49
TMCC2	105740.7	-8.3	5.643e-52	3.018e-49
RAP1GAP	10780.6	-6	4.419e-51	1.277e-48
HDAC6	2355.3	-1.8	5.625e-51	1.883e-48
CCS	5907.9	-3.5	6.188e-51	3.161e-48
RSAD2	10196.2	-6.5	2.245e-50	6.203e-48
FAM45A	278.6	3.8	7.602e-50	1.531e-47
FAM65C	14857.4	-4.4	6.324e-50	2.324e-47
SLC22A23	1694.7	-3.2	2.458e-49	3.768e-47
CLUH	384.4	4.4	2.838e-49	6.973e-47
RUNDC3A	3593.7	-8	2.443e-49	7.393e-47
GRAP2	1003.8	-4.3	3.985e-49	7.639e-47
MYBBP1A	610.3	4.9	4.186e-49	1.027e-46
GNA15	461	7.3	2.864e-48	7.836e-46
FAM117B	105.5	5.1	3.979e-48	8.703e-46
SLC25A42	608.3	-3.2	4.288e-48	9.668e-46
YIPF6	2016.1	-2.7	4.115e-48	1.151e-45
ACSL6	1772.4	-10.9	2.263e-47	3.310e-45
JAZF1	3309.2	-5.7	1.008e-47	4.311e-45
SRPK2	312.3	3.6	2.493e-47	5.966e-45
CYSTM1	3137.2	-4.8	3.451e-47	9.184e-45
ARG2	1045.5	-4.4	8.727e-47	1.571e-44
IL9R	309	6.8	7.789e-47	1.621e-44
LY6E	228.3	7.5	9.030e-47	1.841e-44
WBP2	9732	-3.2	9.604e-47	2.074e-44
ERGIC1	205.9	3.5	1.322e-46	2.635e-44
CHMP2A	3562.5	-2.4	1.253e-46	3.622e-44
HDAC5	2641.7	-4.4	1.896e-46	5.420e-44
PPOX	3294	-2.6	2.770e-46	6.724e-44
TSPAN5	1802.7	-5.4	1.224e-45	1.897e-43
RFFL	2661.1	-2.6	1.755e-45	3.546e-43
HP1BP3	2905.6	-1.5	1.925e-45	7.094e-43
C17orf103	17641.6	-5.3	5.251e-45	1.039e-42
GNL3	1206.3	4.5	2.543e-44	3.099e-42
GUK1	12315.9	-3.1	1.838e-44	3.560e-42
HEPACAM2	978	-8.2	3.444e-44	3.825e-42
DCUN1D1	9708.7	-2.4	2.021e-44	6.989e-42
BEST3	480.5	-8.8	6.038e-44	1.185e-41
RNF130	1140.8	6.3	1.406e-43	2.105e-41
IFITM2	1359.4	7.5	2.215e-43	3.080e-41
ARHGAP4	456.8	5.4	1.978e-43	3.397e-41
FCHO2	1868.2	-3.3	2.986e-43	4.073e-41
NDEL1	3989.3	-2.5	2.956e-43	5.290e-41
IFIT1B	22416.6	-11.5	2.229e-43	7.286e-41
FAM35A	266.3	6.4	5.712e-43	7.419e-41
FXYD5	736.3	4.8	5.611e-43	9.564e-41
RAD21	3461.5	-1.8	4.331e-43	1.022e-40
METTL4	614.4	-2.4	6.514e-43	1.090e-40
CHCHD6	95.5	4.5	7.494e-43	1.137e-40
SLC6A9	4749.9	-6.1	7.520e-43	1.261e-40
SMYD3	113.8	5.2	1.594e-42	1.944e-40
FAM162A	456.6	4.8	1.339e-42	2.079e-40
CLU	818.5	6.1	2.192e-42	3.137e-40
SLC39A4	382.4	3.5	2.226e-42	3.158e-40
PGM2L1	957	-4.5	2.665e-42	3.445e-40
IL1R1	361.3	-6.8	2.923e-42	4.448e-40
KIAA0513	2358	-4.1	3.302e-42	5.214e-40
BCL2L1	36101.3	-4.2	2.717e-42	5.825e-40
HCLS1	859.8	3.3	3.966e-42	6.509e-40
PDCD5	683.5	3.3	9.388e-42	1.266e-39
DYRK1B	560.7	-3.4	8.556e-42	1.280e-39
NOP2	858.2	3.4	9.060e-42	1.345e-39
RIOK3	40720.1	-4.3	1.190e-41	1.788e-39
CBX7	851.6	-5	1.908e-41	2.787e-39
FAM131A	969.9	-3.3	3.213e-41	3.606e-39
SEC14L1	12265.6	-3.4	1.377e-41	3.682e-39
SLC7A5	15329.1	-3.7	2.306e-41	3.919e-39
PHOSPHO1	5135.4	-6.2	2.301e-41	3.919e-39
ANXA2	697.7	5.8	3.143e-41	3.949e-39
