Sample	Frags	TSSpercent	Dup_Rate	Lib_Size	Aligned_Reads	Aligned_noMT	Median_Insert	Mean_Insert	p80_Insert
P1-Rep1	6723073	12.94	6.4517	39062627	6438210	6186062	67	77.211823	71
P1-Rep2	9148458	14.19	5.8822	59604589	8872164	8301972	96	117.294389	169
P1-Rep3	19319333	14.69	5.4714	138766983	18774000	17876700	126	156.971211	219
P2-Rep1	10151073	25.2	8.8469	38693672	9878942	8255732	119	157.444074	241
P2-Rep2	21568685	14.82	7.0797	111094104	21069559	18680500	148	177.485434	255
P2-Rep3	22360556	13.11	6.7708	123590982	21773193	20017800	121	154.66922	227
P3-Rep1	29577859	20.32	29.0046	28390698	28420900	23910092	118	151.29848	227
P3-Rep2	29124491	15.1	8.8625	115618175	28390586	24773758	152	181.533491	263
P3-Rep3	21755403	15.01	7.178	110903817	21162500	19152541	121	153.674813	223
P4-Rep1	21860461	21.16	19.3519	37151423	20903300	19007849	116	150.689614	229
P4-Rep2	19929033	13.59	9.2178	77983892	19377000	17447629	162	192.636791	289
P4-Rep3	20370178	17.05	7.0007	106073931	19784400	17829800	120	154.091265	227
P5-Rep1	20622118	35.41	32.1191	21371537	19982400	19664400	99	140.029171	225
P5-Rep2	26318281	16.53	12.1039	78887841	25191700	23890844	104	136.161424	203
P5-Rep3	19757783	15.58	6.7377	111700523	19211844	17946264	142	170.957766	233
P5-Rep4	24507336	12.86	4.2825	128246549	13167018	12913121	131	163.259005	237
P6-Rep1	31561825	14.45	60.3591	11234776	30091550	29394510	89	118.16145	153
P6-Rep2	19475887	14.88	12.8584	56048942	18690208	18080777	130	154.979531	201
P6-Rep3	17857608	11.22	6.2589	113686639	17368900	16873892	144	172.287308	233
P6-Rep4	23245270	11.94	3.9996	150885071	14284538	14107227	126	156.942707	227
P7-Rep1	25825871	27.4	30.9089	28091524	25026500	24865700	83	116.070702	155
P7-Rep2	19653700	15.27	22.3624	30190169	18818400	18295317	137	161.408021	207
P7-Rep3	24969199	13.74	9.9722	96217559	24269033	23376000	140	166.778862	225
P7-Rep4	41111240	9.05	6.6123	145760595	23190122	22978500	135	167.189564	239
P8-Rep1	51493917	15.76	80.5875	8344011	49250016	49035600	89	116.898322	147
P8-Rep2	26723115	11.06	31.252	27393663	25542966	25225508	108	138.792494	197
P8-Rep3	29811372	15.67	26.4888	37898854	28842378	27920500	144	171.142827	233
P8-Rep4	57137711	9.04	9.8001	93533750	22833700	22652100	137	167.966787	237
