gene	cluster
AL627309.1	K4
AP006222.2	K4
RP11-206L10.3	K4
RP11-206L10.9	K1
FAM87B	K4
LINC00115	K1
NOC2L	K2
KLHL17	K1
ISG15	K5
AGRN	K3
C1orf159	K3
TNFRSF18	K1
TNFRSF4	K1
B3GALT6	K2
FAM132A	K1
UBE2J2	K2
SCNN1D	K1
ACAP3	K1
PUSL1	K2
CPSF3L	K2
GLTPD1	K5
TAS1R3	K5
DVL1	K2
AURKAIP1	K2
CCNL2	K1
RP4-758J18.2	K2
MRPL20	K2
RP4-758J18.13	K2
ATAD3C	K2
ATAD3B	K3
ATAD3A	K2
SSU72	K2
AL645728.1	K1
C1orf233	K1
RP11-345P4.9	K1
MIB2	K1
CDK11B	K5
SLC35E2B	K5
RP11-345P4.7	K5
CDK11A	K5
SLC35E2	K1
NADK	K2
GNB1	K1
TMEM52	K2
RP11-181G12.2	K1
C1orf86	K2
SKI	K1
MORN1	K3
RER1	K3
PEX10	K2
PANK4	K3
TNFRSF14	K3
FAM213B	K3
TTC34	K1
MEGF6	K1
RP11-46F15.2	K5
TPRG1L	K5
TP73-AS1	K4
CCDC27	K4
SMIM1	K4
RP1-286D6.5	K4
CEP104	K3
DFFB	K2
C1orf174	K2
LINC01134	K1
NPHP4	K3
KCNAB2	K2
CHD5	K1
RPL22	K3
RNF207	K2
ICMT	K3
GPR153	K1
ACOT7	K3
HES2	K2
ESPN	K5
TNFRSF25	K5
PLEKHG5	K5
NOL9	K3
TAS1R1	K5
ZBTB48	K1
KLHL21	K5
PHF13	K5
THAP3	K5
DNAJC11	K3
CAMTA1	K3
VAMP3	K5
PER3	K2
PARK7	K2
ERRFI1	K5
RERE	K3
RP4-633I8.4	K3
ENO1	K2
SLC2A5	K1
GPR157	K1
H6PD	K2
SPSB1	K1
SLC25A33	K2
TMEM201	K2
PIK3CD	K1
RP11-558F24.4	K1
CLSTN1	K2
CTNNBIP1	K1
NMNAT1	K2
UBE4B	K5
KIF1B	K2
PGD	K2
APITD1	K3
DFFA	K2
PEX14	K3
CASZ1	K4
RP4-734G22.3	K4
TARDBP	K3
RP4-635E18.8	K1
SRM	K2
EXOSC10	K3
MTOR	K3
ANGPTL7	K3
UBIAD1	K2
FBXO44	K2
FBXO6	K2
MAD2L2	K3
AGTRAP	K2
C1orf167	K5
MTHFR	K5
CLCN6	K5
NPPA-AS1	K5
NPPA	K5
KIAA2013	K1
PLOD1	K3
MFN2	K4
MIIP	K5
TNFRSF8	K2
TNFRSF1B	K3
DHRS3	K3
PRDM2	K3
KAZN	K2
EFHD2	K1
CELA2A	K1
CELA2B	K1
CASP9	K2
DNAJC16	K3
AGMAT	K2
RP4-680D5.2	K5
DDI2	K4
PLEKHM2	K4
RP11-288I21.1	K4
SLC25A34	K5
RP11-169K16.9	K1
SPEN	K1
ZBTB17	K2
CLCNKB	K2
ARHGEF19	K3
C1orf134	K3
RSG1	K3
FBXO42	K4
SZRD1	K2
SPATA21	K5
NECAP2	K5
RP4-798A10.2	K5
NBPF1	K2
RP5-1182A14.5	K4
CROCCP2	K4
CROCC	K1
RP11-108M9.4	K1
ATP13A2	K2
SDHB	K2
PADI2	K1
PADI4	K1
RCC2	K3
ALDH4A1	K2
IFFO2	K1
UBR4	K5
RP1-43E13.2	K5
EMC1	K2
MRTO4	K2
AKR7A3	K2
AKR7A2	K3
PQLC2	K3
CAPZB	K3
MINOS1	K2
NBL1	K1
TMCO4	K2
OTUD3	K3
UBXN10-AS1	K2
UBXN10	K5
MUL1	K5
PINK1	K5
PINK1-AS	K1
DDOST	K3
SH2D5	K5
HP1BP3	K3
EIF4G3	K2
ECE1	K3
RP3-329E20.2	K4
RP5-1071N3.1	K3
NBPF3	K3
ALPL	K4
RP11-63N8.3	K5
RAP1GAP	K4
USP48	K3
LDLRAD2	K1
HSPG2	K1
LINC00339	K3
CDC42	K1
RP1-224A6.9	K1
WNT4	K1
ZBTB40	K3
KDM1A	K3
LUZP1	K2
RP5-1057J7.6	K3
HNRNPR	K3
ZNF436	K2
C1orf213	K3
TCEA3	K2
ASAP3	K5
E2F2	K4
ID3	K1
RPL11	K3
TCEB3	K3
RP5-886K2.3	K2
PITHD1	K5
LYPLA2	K2
GALE	K2
HMGCL	K1
FUCA1	K1
CNR2	K1
PNRC2	K4
SRSF10	K3
IL22RA1	K5
STPG1	K3
NIPAL3	K3
RCAN3	K1
SRRM1	K3
CLIC4	K3
RUNX3	K1
RP4-706G24.1	K5
SYF2	K5
C1orf63	K4
RP3-465N24.6	K5
RHD	K4
TMEM50A	K5
RHCE	K4
TMEM57	K5
LDLRAP1	K3
MAN1C1	K1
SEPN1	K2
MTFR1L	K3
AUNIP	K3
PAQR7	K1
STMN1	K3
PAFAH2	K2
SLC30A2	K1
PDIK1L	K3
CNKSR1	K1
CEP85	K3
SH3BGRL3	K5
UBXN11	K3
CD52	K1
AIM1L	K1
DHDDS	K3
RP3-476K8.3	K3
HMGN2	K3
RPS6KA1	K3
ARID1A	K1
PIGV	K3
