gene	cluster
A1BG	K3
A1BG-AS1	K3
A2M	K1
A2M-AS1	K1
A2ML1	K6
A4GALT	K5
AAAS	K4
AACS	K5
AADAT	K1
AAED1	K2
AAGAB	K5
AAK1	K7
AAMDC	K5
AAMP	K6
AAR2	K4
AARS	K5
AARS2	K5
AARSD1	K5
AASDH	K4
AASDHPPT	K4
AASS	K1
AATF	K4
AATK	K3
ABAT	K1
ABCA1	K1
ABCA10	K1
ABCA2	K2
ABCA3	K1
ABCA4	K6
ABCA5	K4
ABCA7	K6
ABCB1	K1
ABCB10	K6
ABCB4	K4
ABCB5	K6
ABCB6	K6
ABCB7	K4
ABCB8	K5
ABCB9	K6
ABCC1	K2
ABCC10	K4
ABCC11	K1
ABCC2	K1
ABCC3	K3
ABCC4	K6
ABCC5	K5
ABCC5-AS1	K4
ABCC6	K1
ABCD1	K3
ABCD3	K4
ABCD4	K5
ABCE1	K2
ABCF1	K5
ABCF2	K5
ABCF3	K5
ABCG1	K1
ABCG2	K6
ABHD1	K1
ABHD10	K2
ABHD11	K5
ABHD12	K4
ABHD12B	K1
ABHD13	K5
ABHD14A	K4
ABHD14B	K4
ABHD15	K1
ABHD16A	K6
ABHD16B	K5
ABHD17B	K1
ABHD17C	K1
ABHD2	K2
ABHD3	K5
ABHD4	K7
ABHD5	K6
ABHD6	K2
ABHD8	K3
ABI1	K2
ABI2	K2
ABI3	K7
ABI3BP	K1
ABL1	K4
ABL2	K2
ABLIM1	K1
ABR	K2
ABRACL	K2
ABT1	K5
ABTB1	K6
ABTB2	K3
AC000068.5	K3
AC002116.7	K5
AC002117.1	K1
AC002310.12	K3
AC002398.11	K7
AC002454.1	K1
AC002467.7	K5
AC003043.1	K6
AC003090.1	K7
AC003092.1	K7
AC003102.3	K7
AC003991.3	K2
AC004019.13	K7
AC004069.2	K2
AC004158.2	K4
AC004257.3	K5
AC004381.6	K4
AC004447.2	K5
AC004463.6	K5
AC004471.9	K1
AC004510.3	K4
AC004540.5	K1
AC004702.2	K6
AC004840.8	K7
AC004840.9	K1
AC004854.4	K1
AC004893.11	K2
AC004895.4	K7
AC005003.1	K2
AC005042.4	K1
AC005076.5	K5
AC005082.12	K1
AC005104.3	K6
AC005224.2	K4
AC005253.2	K7
AC005264.2	K3
AC005355.1	K7
AC005355.2	K7
AC005387.2	K7
AC005387.3	K7
AC005477.1	K6
AC005487.2	K7
AC005740.5	K7
AC005943.5	K3
AC006116.17	K5
AC006116.20	K2
AC006129.1	K3
AC006129.2	K1
AC006129.4	K5
AC006160.5	K1
AC006262.5	K5
AC006378.2	K1
AC006547.13	K6
AC006942.4	K7
AC007036.6	K1
AC007038.7	K1
AC007050.17	K1
AC007228.11	K1
AC007246.3	K2
AC007271.3	K6
AC007319.1	K1
AC007365.1	K7
AC007365.3	K1
AC007381.2	K7
AC007381.3	K7
AC007395.3	K6
AC007551.3	K1
AC007787.2	K6
AC007970.1	K1
AC008746.12	K5
AC009095.4	K6
