Donor1_Day07_P1_Rep1	Donor1_Day07_P2_Rep1	Donor1_Day07_P3_Rep1	Donor1_Day07_P4_Rep1	Donor1_Day14_P5_Rep1	Donor1_Day14_P6_Rep1	Donor1_Day14_P7_Rep1	Donor1_Day14_P8_Rep1	Donor1_Day15_P5_Rep2	Donor1_Day15_P6_Rep2	Donor1_Day15_P7_Rep2	Donor1_Day15_P8_Rep2	Donor2_Day06_P1_Rep2	Donor2_Day06_P2_Rep2	Donor2_Day06_P3_Rep2	Donor2_Day06_P4_Rep2	Donor3_Day07_P1_Rep3	Donor3_Day07_P2_Rep3	Donor3_Day07_P3_Rep3	Donor3_Day07_P4_Rep3	Donor3_Day14_P5_Rep3	Donor3_Day14_P5_Rep4	Donor3_Day14_P6_Rep3	Donor3_Day14_P6_Rep4	Donor3_Day14_P7_Rep3	Donor3_Day14_P7_Rep4	Donor3_Day14_P8_Rep3	Donor3_Day14_P8_Rep4	genes
0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	MIR1302-10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	FAM138A
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR4F5
5	1	2	0	3	0	0	0	2	1	0	0	1	4	0	0	0	1	3	1	0	1	5	3	0	0	2	1	RP11-34P13.7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-34P13.8
37	15	47	4	17	22	8	11	17	14	25	2	15	12	9	8	15	17	38	7	9	4	17	32	1	9	6	21	AL627309.1
2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	1	2	1	0	0	RP11-34P13.14
0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	1	0	3	0	0	0	0	1	0	0	0	0	0	RP11-34P13.9
42	3	46	2	4	1	8	8	5	4	4	3	22	9	2	11	26	9	29	5	1	1	8	21	8	1	10	30	AP006222.2
3	5	4	0	3	7	7	3	1	3	4	6	2	6	1	0	0	3	2	3	1	0	4	2	2	3	0	2	RP4-669L17.10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR4F29
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP4-669L17.2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	RP5-857K21.15
0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	RP5-857K21.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP5-857K21.2
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	RP5-857K21.3
0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	2	0	0	0	2	0	1	0	1	2	RP5-857K21.4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP5-857K21.5
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	OR4F16
6	1	10	3	6	8	4	10	5	9	2	2	15	10	11	1	7	16	8	12	1	3	4	12	7	5	8	13	RP11-206L10.3
1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	RP11-206L10.5
0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	RP11-206L10.4
52	14	60	2	32	57	48	42	24	29	79	39	41	50	15	11	11	47	40	17	11	6	58	46	30	69	21	53	RP11-206L10.2
20	12	17	2	19	22	48	27	11	13	13	15	14	25	24	8	14	28	44	6	11	12	20	16	16	19	15	23	RP11-206L10.9
0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	AL669831.1
22	11	25	9	21	13	23	18	13	8	6	7	22	11	15	3	14	15	37	7	7	5	13	13	18	1	12	17	FAM87B
38	46	28	10	15	18	32	35	11	22	14	22	30	16	17	25	32	23	47	44	15	10	48	23	33	31	21	31	LINC00115
0	0	1	0	0	0	3	1	1	0	0	0	4	0	0	0	4	1	2	1	0	0	0	2	2	1	1	0	FAM41C
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL645608.2
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-54O7.16
0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	RP11-54O7.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-54O7.2
0	0	0	0	1	6	29	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	RP11-54O7.3
0	0	1	0	1	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	SAMD11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL645608.1
1831	337	2196	267	343	3167	2334	7256	241	4794	322	3497	552	1023	257	259	373	451	825	494	201	385	6102	3500	7296	782	2891	4745	NOC2L
62	8	73	1	51	66	146	46	29	37	207	44	55	30	13	10	6	28	69	17	4	14	50	18	49	140	26	63	KLHL17
0	0	0	0	0	3	9	0	0	0	10	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	PLEKHN1
0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C1orf170
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-54O7.17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HES4
0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	RP11-54O7.11
204	3312	202	833	56	638	819	737	156	382	450	354	173	62	279	864	919	91	251	3225	760	1608	575	285	727	369	202	461	ISG15
143	17	216	9	93	159	158	364	38	196	65	308	44	169	27	8	10	90	117	0	8	9	292	248	262	217	257	364	AGRN
0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-54O7.18
0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RNF223
589	43	626	7	217	478	550	958	138	593	261	457	255	358	80	39	58	252	414	23	33	14	829	490	969	349	454	772	C1orf159
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-465B22.5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-465B22.8
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TTLL10-AS1
0	0	0	0	0	12	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TTLL10
0	2	0	0	0	99	74	0	2	1	68	3	0	0	1	0	0	0	1	1	3	0	1	0	1	7	0	0	TNFRSF18
1	0	1	0	1	39	67	2	2	0	36	1	1	1	1	0	3	0	3	6	0	1	0	0	1	1	0	0	TNFRSF4
312	133	350	196	404	911	1041	705	266	411	681	828	224	489	206	113	77	363	346	107	167	335	496	363	688	637	640	429	SDF4
21	0	17	7	6	97	316	117	4	115	230	127	3	32	4	0	4	5	15	3	11	17	82	51	147	313	73	75	B3GALT6
4	6	2	2	6	4	5	6	7	0	8	6	4	4	2	5	1	5	6	21	7	4	11	10	14	4	1	16	FAM132A
0	0	0	0	0	0	2	2	0	0	3	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	RP5-902P8.12
1159	504	1272	368	520	1054	962	2523	415	1340	364	1383	730	765	478	462	361	630	1026	489	386	500	1919	1192	2290	643	1052	1879	UBE2J2
1	0	0	0	0	1	1	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	1	2	0	5	0	1	RP5-902P8.10
12	2	24	3	14	37	129	70	3	36	139	38	4	9	3	1	2	7	11	4	0	1	45	20	74	116	40	39	SCNN1D
58	11	43	0	27	75	182	65	24	57	205	59	34	26	10	10	6	39	82	5	6	1	90	53	48	123	33	60	ACAP3
