HSC	MPP	CMP	MEP	P1	P2	P3	P4	P5	P6	P7	P8	genes
0	0	0	0	0	0.02	0.01	0	0.04	0.03	0	0	MIR1302-10
0	0	0	0	0	0	0	0	0	0.04	0	0	FAM138A
0	0	0	0	0	0	0	0	0.01	0	0	0	OR4F5
0.16	0.14	0.24	0.12	0	0.02	0.07	0.1	0.19	0.1	0	0.04	RP11-34P13.7
0	0	0	0	0	0	0	0	0	0	0	0	RP11-34P13.8
0.58	1.01	0.28	0.24	1.11	0.43	0.41	1.03	1.57	1.24	0.63	0.42	AL627309.1
0.26	0.08	0.02	0.05	0.06	0.05	0.01	0.02	0.06	0.03	0	0.04	RP11-34P13.14
0.13	0.14	0	0.02	0.04	0	0.01	0	0.01	0.09	0.02	0	RP11-34P13.9
1.66	1.59	1.09	1.11	0.26	0.23	0.26	1.06	1.4	0.93	0.62	0.15	AP006222.2
2.57	1.81	0.99	1.35	0.36	0.14	0.18	0.07	0.22	0.11	0.03	0.11	RP4-669L17.10
0	0	0	0	0	0	0	0	0	0	0	0	OR4F29
0.03	0	0	0.02	0	0	0	0	0	0	0	0	RP4-669L17.2
0.03	0.05	0.02	0.05	0	0	0	0	0	0	0	0.01	RP5-857K21.15
0.06	0.05	0.05	0.02	0.02	0	0.01	0.02	0.01	0.01	0	0.01	RP5-857K21.1
0	0	0	0	0	0	0	0	0	0	0	0	RP5-857K21.2
0.06	0.08	0	0.02	0	0	0	0	0.01	0	0	0.01	RP5-857K21.3
0.16	0.08	0.24	0.1	0	0.02	0.03	0.05	0.03	0.04	0.02	0	RP5-857K21.4
0	0	0	0.02	0	0	0	0	0	0	0	0	RP5-857K21.5
0	0	0	0	0	0	0	0	0	0.01	0	0.01	OR4F16
0.97	0.44	0.59	0.46	0.28	0.38	0.22	0.58	0.44	0.63	0.31	0.26	RP11-206L10.3
0.26	0.11	0.07	0.05	0.02	0.04	0.01	0.03	0.01	0	0.02	0.01	RP11-206L10.5
0.03	0	0.05	0	0	0.05	0.03	0.02	0.03	0	0	0	RP11-206L10.4
1.17	1.92	1.09	1.3	3.72	2.31	1.91	2.09	2.69	2.17	0.74	0.54	RP11-206L10.2
6.08	5.91	4.18	3.96	1.68	0.87	0.85	0.94	1.12	1.39	0.88	0.45	RP11-206L10.9
0.19	0.08	0.17	0.05	0.04	0.04	0	0	0.01	0.01	0.03	0.01	AL669831.1
12.64	8.48	9.76	7.82	0.85	0.49	0.52	0.73	1.09	1.24	0.6	0.45	FAM87B
0.62	1.34	0.5	0.63	1.29	1.55	1.44	1.31	1.34	1.59	1.38	1.53	LINC00115
0.71	0.36	0.24	0.12	0.06	0.05	0.01	0.05	0.01	0.11	0.06	0.01	FAM41C
0	0	0.02	0	0	0	0	0	0	0	0	0	AL645608.2
0	0	0	0	0.02	0	0	0	0	0	0	0	RP11-54O7.16
0.1	0.08	0.09	0.05	0.04	0	0	0	0	0.03	0	0	RP11-54O7.1
0	0	0	0.02	0	0	0	0	0	0	0	0	RP11-54O7.2
0	0	0.07	0.02	0.77	0	0	0	0.01	0	0.02	0	RP11-54O7.3
0	0.05	0.05	0	0.22	0.02	0	0	0.03	0	0	0	SAMD11
0	0	0	0	0	0	0	0	0	0	0	0	AL645608.1
5.13	9.58	6.9	10.24	117.61	232.48	231.09	194.28	74.72	29.56	16.88	20.63	NOC2L
0	0	0	0.12	8.46	4.08	1.92	1.87	2.99	2.59	0.51	0.56	KLHL17
