GeneSet	adjP
Defense response	2.76452246918e-16
Inflammatory response	5.45723799056e-14
Immune response	5.45723799056e-14
Immune system process	5.48768028269e-14
Regulation of immune system process	9.7787181334e-13
Positive regulation of tumor necrosis factor superfamily cytokine production	3.93222157447e-12
Cellular response to cytokine stimulus	1.59260467181e-10
Regulation of cell activation	2.42979342548e-10
Response to molecule of bacterial origin	2.62600338008e-10
Cell activation	3.41229493333e-10
