GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_GAS_TRANSPORT	19	13	8.48352751986e-14	3.76329280781e-10	HBB:HBD:HBG1:HBG2:HBE1:HBZ:HBM:HBA2:HBA1:HBQ1:RHAG:AQP1:AQP1:CA2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_GAS_TRANSPORT
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1412	148	2.20459283425e-11	4.88978690637e-08	MFN2:NECAP2:ATP6V0B:GPR89C:GPR89B:SELENBP1:S100A10:LMNA:RABGAP1L:CNTN2:ARF1:GUK1:TIMM23:VPS26A:HK1:TACR2:SEC24C:SEC31B:FAM160A2:TSG101:PEX16:ARFGAP2:RAB3IL1:BAD:EHD1:SNX15:RAB1B:YIF1A:CTTN:HINFP:NECAP1:RHEBL1:COPZ1:MDM2:ZDHHC17:CORO1C:TESC:RHOF:ABCB9:STX2:NUPL1:PNP:ATP6V1D:SYNE3:SNX22:ZFAND6:GNPTG:RPL3L:PKD1:ARL6IP1:MVP:HERPUD1:ATP6V0D1:CDH1:IST1:CHMP1A:MYO1C:INPP5K:NUP88:RPAIN:GABARAP:TOM1L2:RAB5C:ATP6V0A1:BECN1:PLEKHM1:TOB1:COG1:WBP2:HGS:ASPSCR1:NPC1:MYO5B:BSG:APBA3:MCOLN1:STXBP2:RAB11B:ATG4D:TMED1:ASNA1:SPTBN4:AP2S1:BBC3:NAPA:BAX:PIH1D1:AP2A1:FUZ:TBC1D17:CHMP2A:FKBP1B:RAB10:PKDCC:BCL2L11:IL1RN:STEAP3:TRAK2:STRADB:ATG9A:PTPRN:RHBDD1:ATG4B:ARFGAP1:ARFRP1:MCM3AP:ATP6V1E1:RASL10A:FBXO7:TOM1:COLQ:GOLGA4:RTP3:TMEM115:ARF4:STX19:ATG3:ATP6V1A:KPNA1:TF:RAB6B:EIF5A2:AP2M1:BBS12:MCC:ATP6V0E1:TBC1D22B:SNX8:AP5Z1:SNX13:CD36:CCDC132:BET1:TFR2:FIS1:ARF5:ATP6V1B2:DMTN:ANK1:SDCBP:ATP6V1C1:VPS28:JAK2:CHMP5:SSNA1:HDAC6:TIMM17B:ATG4A:GDI1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION
GO_OXYGEN_TRANSPORT	15	10	4.74194439365e-11	7.01175511008e-08	HBB:HBD:HBG1:HBG2:HBE1:HBZ:HBM:HBA2:HBA1:HBQ1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_OXYGEN_TRANSPORT
GO_PROTEIN_LOCALIZATION	1792	175	1.06321293129e-10	1.1791031408e-07	KLHL21:MFN2:NECAP2:ATP6V0B:ANKRD13C:LAMTOR5:GPR89C:GPR89B:SELENBP1:S100A10:LMNA:RABGAP1L:CNTN2:ARF1:GUK1:TIMM23:VPS26A:HK1:TACR2:SEC24C:ZFYVE27:SEC31B:TOLLIP:FAM160A2:TSG101:PEX16:ARFGAP2:RAB3IL1:BAD:EHD1:SNX15:RAB1B:YIF1A:CTTN:HINFP:TULP3:NECAP1:RHEBL1:COPZ1:MDM2:ZDHHC17:CORO1C:TESC:RHOF:ABCB9:STX2:NUPL1:PNP:ATP6V1D:SYNE3:KIF26A:SNX22:ZFAND6:GNPTG:MAPK8IP3:RPL3L:PKD1:ARL6IP1:MVP:HERPUD1:ATP6V0D1:CDH1:MARVELD3:IST1:BANP:CHMP1A:MYO1C:INPP5K:NUP88:RPAIN:GABARAP:TOM1L2:RAB5C:ATP6V0A1:BECN1:PLEKHM1:TOB1:WIPI1:COG1:WBP2:HGS:ASPSCR1:NPC1:MYO5B:BSG:ABCA7:APBA3:MCOLN1:STXBP2:RAB11B:KEAP1:ATG4D:TMED1:ASNA1:NFKBIB:PAF1:SPTBN4:AP2S1:BBC3:NAPA:PPP1R15A:BAX:PIH1D1:AP2A1:FUZ:TBC1D17:CHMP2A:FKBP1B:RAB10:CENPA:PKDCC:BCL2L11:IL1RN:STEAP3:TRAK2:STRADB:ATG9A:PTPRN:RHBDD1:ATG4B:ID1:FAM83D:ARFGAP1:ARFRP1:MORC3:MCM3AP:ATP6V1E1:RASL10A:FBXO7:TOM1:SUN2:COLQ:GOLGA4:RTP3:TMEM115:ARF4:STX19:ATG3:ATP6V1A:KPNA1:TF:RAB6B:EIF5A2:AP2M1:LAMTOR3:BBS12:MCC:ATP6V0E1:SQSTM1:TBC1D22B:SNX8:AP5Z1:SNX13:CD36:CCDC132:BET1:TFR2:PLOD3:FIS1:RELN:ARF5:ATP6V1B2:DMTN:ANK1:SDCBP:ATP6V1C1:VPS28:JAK2:DNAJA1:CHMP5:SSNA1:HDAC6:TIMM17B:WDR45:ATG4A:GDI1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PROTEIN_LOCALIZATION
GO_NUCLEOPHAGY	18	10	9.31312150917e-10	8.26260140294e-07	ATG2A:BECN1:WIPI1:ATG4D:ATG9A:ATG4B:ATG3:ATG12:WDR45:ATG4A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NUCLEOPHAGY
GO_TETRAPYRROLE_BIOSYNTHETIC_PROCESS	27	12	1.43649410811e-09	1.06204797726e-06	UROD:SPTA1:PPOX:IBA57:HMBS:SLC25A39:FECH:ABCB6:SLC25A38:CPOX:ALAD:ALAS2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_TETRAPYRROLE_BIOSYNTHETIC_PROCESS
GO_IRON_ION_TRANSPORT	56	17	2.97800314593e-09	1.88720313648e-06	ATP6V0B:FTH1:ATP6V1D:ATP6V0D1:ATP6V0A1:MCOLN1:RAB11B:FTL:STEAP3:ATP6V1E1:ATP6V1A:TF:ATP6V0E1:TFR2:ATP6V1B2:SLC25A37:ATP6V1C1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_IRON_ION_TRANSPORT
GO_TRIVALENT_INORGANIC_CATION_TRANSPORT	39	14	3.6694946277e-09	2.03473477106e-06	ATP6V0B:ATP6V1D:ATP6V0D1:ATP6V0A1:MCOLN1:RAB11B:STEAP3:ATP6V1E1:ATP6V1A:TF:ATP6V0E1:TFR2:ATP6V1B2:ATP6V1C1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_TRIVALENT_INORGANIC_CATION_TRANSPORT
GO_HEME_BIOSYNTHETIC_PROCESS	20	10	4.38470021166e-09	2.16117001544e-06	UROD:PPOX:IBA57:HMBS:SLC25A39:FECH:SLC25A38:CPOX:ALAD:ALAS2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_HEME_BIOSYNTHETIC_PROCESS
GO_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	36	13	1.03285190646e-08	4.58173105706e-06	UROD:SPTA1:PPOX:IBA57:HMBS:SLC25A39:FECH:BLVRB:ABCB6:SLC25A38:CPOX:ALAD:ALAS2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS
