GO Accession No.,No. Different Genes, No.Total Genes,Hard Trimmed?,Soft Trimmed?
GO:0033013,14,57,,YES
GO:0034101,109,1151,,
GO:0030163,64,569,,
GO:1905037,15,77,,
GO:0000305,148,1412,,
GO:0042168,9,27,,YES
GO:0046148,10,35,,YES
GO:0090383,42,351,,
GO:0022411,155,1750,,
GO:0042743,15,68,,YES
GO:0042744,12,47,,
GO:0055082,46,393,,
GO:0006826,17,56,,
GO:0045184,57,511,,
GO:0042592,55,478,,
GO:0006508,175,1792,,
GO:0072512,11,45,,
GO:0050801,15,73,,
GO:0055072,9,30,,YES
GO:0046916,19,105,,YES
GO:0007033,11,29,,YES
GO:0009894,36,240,,YES
GO:0055076,6,14,,YES
GO:0008286,80,728,,
GO:0009056,13,43,,
GO:0015671,21,107,,
GO:0002262,10,15,,YES
GO:0008104,92,869,,
GO:0048878,16,80,,YES
GO:0009896,26,146,,
GO:0006783,12,27,,
GO:0009636,127,1328,,
GO:0006979,52,392,,YES
GO:0071450,61,574,,
GO:0006914,10,20,,YES
GO:1990267,155,1840,,
GO:0032868,31,205,,YES
GO:0006879,14,39,,
GO:0032869,8,20,,YES
GO:0000041,13,19,,YES
GO:0098754,15,76,,
GO:0071310,25,166,,YES
GO:0010039,8,18,,
GO:0033014,18,88,,
GO:0010035,26,148,,
GO:0015669,74,673,,
GO:0019725,64,567,,YES
