gene	baseMean	log2FoldChange	pvalue	padj
TMCC2	5320.8	1.8925	7.589216230e-81	1.425e-76
FOS	963.2	0.939	3.659459980e-15	3.435e-11
EGR1	709.1	0.5088	2.125015340e-05	2.236e-02
JUNB	1485.9	0.5362	9.111061160e-06	4.276e-02
CROCCP2	459.5	-0.4948	1.045600488e-03	4.682e-01
TSC22D2	552.2	0.4936	1.020780326e-03	4.682e-01
IER2	462.3	0.4991	1.736510994e-04	4.682e-01
KDM5D	886.6	-0.3493	1.680738993e-03	6.597e-01
OR4F5	0.3	-1.4407	6.588686071e-01	1.000e+00
RP11-34P13.7	3.7	-0.0344	9.692565771e-01	1.000e+00
AL627309.1	7.3	-0.3942	5.512157339e-01	1.000e+00
RP11-34P13.9	0.6	-2.423	3.449613352e-01	1.000e+00
AP006222.2	71.1	-0.1567	4.765766653e-01	1.000e+00
RP4-669L17.10	1.1	-0.3025	8.547645039e-01	1.000e+00
RP5-857K21.4	0.9	-0.4619	8.240094450e-01	1.000e+00
RP11-206L10.3	0.7	0.9193	6.840700426e-01	1.000e+00
RP11-206L10.4	0.1	0.9643	8.005460824e-01	1.000e+00
RP11-206L10.2	6	0.2819	7.035430705e-01	1.000e+00
RP11-206L10.9	2.7	-0.731	4.986180293e-01	1.000e+00
FAM87B	4.1	-0.9692	3.299154682e-01	1.000e+00
LINC00115	4.9	0.2622	7.622384132e-01	1.000e+00
FAM41C	8.9	-0.0136	9.810495777e-01	1.000e+00
NOC2L	387.4	0.0067	9.588985819e-01	1.000e+00
KLHL17	4.9	0.6368	4.229768085e-01	1.000e+00
PLEKHN1	0.3	0.243	9.410625796e-01	1.000e+00
ISG15	253	-0.0288	9.029195480e-01	1.000e+00
AGRN	246.9	-0.1371	3.556596916e-01	1.000e+00
C1orf159	41.8	-0.1118	7.172137875e-01	1.000e+00
TNFRSF18	0.1	-0.7188	8.506272826e-01	1.000e+00
SDF4	89.9	0.2329	2.757453240e-01	1.000e+00
B3GALT6	2.7	-1.5344	1.905844937e-01	1.000e+00
FAM132A	0.9	-1.8092	3.647755940e-01	1.000e+00
RP5-902P8.12	0.1	-0.7188	8.506272826e-01	1.000e+00
UBE2J2	359.2	0.002	9.874680245e-01	1.000e+00
RP5-902P8.10	0.1	0.9643	8.005460824e-01	1.000e+00
SCNN1D	1	0.0106	9.954206035e-01	1.000e+00
ACAP3	17.1	-0.125	7.795621135e-01	1.000e+00
PUSL1	113.4	0.1306	4.859882769e-01	1.000e+00
CPSF3L	1228.1	-0.042	7.250681648e-01	1.000e+00
GLTPD1	240.6	-0.0181	9.265974789e-01	1.000e+00
TAS1R3	198.7	0.3123	9.978469001e-02	1.000e+00
DVL1	37.5	-0.4709	1.153310622e-01	1.000e+00
MXRA8	0.7	0.9946	6.340536336e-01	1.000e+00
AURKAIP1	808	-0.0177	9.010607912e-01	1.000e+00
CCNL2	601.6	-0.1351	3.690122124e-01	1.000e+00
RP4-758J18.2	190.7	-0.2176	1.835638274e-01	1.000e+00
MRPL20	356.7	-0.0485	7.597348800e-01	1.000e+00
RP4-758J18.13	13.1	0.5286	2.854957013e-01	1.000e+00
RP4-758J18.7	0.1	0.9643	8.005460824e-01	1.000e+00
RP4-758J18.10	0.2	0.9643	8.005460824e-01	1.000e+00
VWA1	0.4	-0.4827	8.671346229e-01	1.000e+00
ATAD3C	2	-0.4465	7.126524246e-01	1.000e+00
ATAD3B	22.4	-0.1796	6.519774467e-01	1.000e+00
ATAD3A	27.9	-0.4345	2.207451217e-01	1.000e+00
SSU72	516.8	0.0926	4.008843511e-01	1.000e+00
AL645728.1	1.7	-0.6413	6.422001158e-01	1.000e+00
RP11-345P4.9	10.7	0.4399	4.124608116e-01	1.000e+00
MIB2	27.5	0.0504	8.936994041e-01	1.000e+00
MMP23B	3.9	0.9527	2.750931532e-01	1.000e+00
CDK11B	96.4	-0.1459	4.552116792e-01	1.000e+00
SLC35E2B	428.8	-0.0214	8.620680495e-01	1.000e+00
RP11-345P4.7	5.5	-0.6127	4.556719270e-01	1.000e+00
CDK11A	517.7	-0.2315	9.754153146e-02	1.000e+00
SLC35E2	42	-0.0372	8.927982318e-01	1.000e+00
NADK	192.8	-0.1451	3.318549242e-01	1.000e+00
GNB1	173.2	0.1991	2.387891459e-01	1.000e+00
RP1-140A9.1	1.4	-0.8118	5.713553169e-01	1.000e+00
CALML6	0.3	-1.4339	6.612639309e-01	1.000e+00
TMEM52	3	-1.7124	1.247897818e-01	1.000e+00
C1orf222	0.7	-1.4881	4.848145681e-01	1.000e+00
PRKCZ	0.1	0.9643	8.005460824e-01	1.000e+00
RP11-181G12.2	1.2	2.0444	2.278427782e-01	1.000e+00
C1orf86	80.6	0.112	6.138903770e-01	1.000e+00
SKI	34.4	-0.3116	3.177287229e-01	1.000e+00
MORN1	48.1	-0.3541	2.251256443e-01	1.000e+00
AL589739.1	0.5	-0.4812	8.544405538e-01	1.000e+00
RER1	1908.6	0.0285	7.859232512e-01	1.000e+00
PEX10	49	0.1947	4.725082545e-01	1.000e+00
PLCH2	0.7	0.9481	6.942055095e-01	1.000e+00
PANK4	165.6	-0.1613	3.831882177e-01	1.000e+00
RP3-395M20.12	1.8	-3.0687	7.476043856e-02	1.000e+00
TNFRSF14	415.5	-0.0806	5.417542577e-01	1.000e+00
RP3-395M20.7	0.1	-0.7188	8.506272826e-01	1.000e+00
FAM213B	87.5	0.1753	4.343113423e-01	1.000e+00
MMEL1	0.1	0.9643	8.005460824e-01	1.000e+00
TTC34	0.6	-2.4386	3.017592280e-01	1.000e+00
PRDM16	0.1	-0.7188	8.506272826e-01	1.000e+00
MEGF6	2	-0.8478	5.035683490e-01	1.000e+00
RP11-46F15.2	0.7	-0.1369	9.452744185e-01	1.000e+00
TPRG1L	334.8	0.0083	9.505404556e-01	1.000e+00
WRAP73	111.6	0.0211	9.209456327e-01	1.000e+00
TP73	36.4	-0.2243	4.544909974e-01	1.000e+00
RP5-1092A11.2	0.3	1.7962	6.187057024e-01	1.000e+00
TP73-AS1	471.9	-0.2121	1.168240117e-01	1.000e+00
CCDC27	3.2	-0.0256	9.805555587e-01	1.000e+00
SMIM1	2308	-0.0044	9.782807949e-01	1.000e+00
LRRC47	110.3	0.1057	5.753161235e-01	1.000e+00
RP1-286D6.5	3.1	0.6701	5.127897562e-01	1.000e+00
CEP104	82.6	0.0488	8.185116286e-01	1.000e+00
DFFB	16	0.2794	5.329142433e-01	1.000e+00
C1orf174	293.3	-0.0542	6.918552663e-01	1.000e+00
LINC01134	26.5	-0.2348	5.105153241e-01	1.000e+00
NPHP4	44.7	0.09	7.432138241e-01	1.000e+00
KCNAB2	51.4	-0.0523	8.498145622e-01	1.000e+00
CHD5	1.5	0.4834	7.470660222e-01	1.000e+00
RPL22	1614.6	0.0903	3.757451266e-01	1.000e+00
RNF207	0.3	1.7652	6.281543671e-01	1.000e+00
ICMT	44.4	0.0697	7.963401264e-01	1.000e+00
GPR153	0.4	-0.4702	8.683519209e-01	1.000e+00
ACOT7	86.2	-0.0993	6.656416740e-01	1.000e+00
HES2	14.7	-0.123	7.944176408e-01	1.000e+00
ESPN	286.5	0.1637	3.274547452e-01	1.000e+00
RP1-202O8.2	1.4	1.0022	4.838501900e-01	1.000e+00
TNFRSF25	39	-0.0891	7.526669998e-01	1.000e+00
PLEKHG5	1.1	1.8874	3.410226166e-01	1.000e+00
NOL9	74.8	-0.0193	9.294530326e-01	1.000e+00
