gene	baseMean	log2FoldChange	pvalue	padj
DUSP1	1153.7	1.2555	8.833786331e-10	1.658e-05
PNMA1	890.7	0.7519	6.631586146e-06	6.224e-02
OR4F5	0.3	2.419	6.144867650e-01	1.000e+00
RP11-34P13.7	3.7	0.5587	6.656180090e-01	1.000e+00
AL627309.1	7.3	0.0766	9.346258024e-01	1.000e+00
RP11-34P13.9	0.6	-1.5705	6.704484966e-01	1.000e+00
AP006222.2	71.1	-0.0641	8.393079019e-01	1.000e+00
RP4-669L17.10	1.1	1.9838	4.268504037e-01	1.000e+00
RP5-857K21.4	0.9	-3.45	2.421509618e-01	1.000e+00
RP11-206L10.3	0.7	-0.0442	9.897999886e-01	1.000e+00
RP11-206L10.4	0.1	0	1.000000000e+00	1.000e+00
RP11-206L10.2	6	-0.2811	7.967852462e-01	1.000e+00
RP11-206L10.9	2.7	0.1916	8.968831954e-01	1.000e+00
FAM87B	4.1	0.1392	9.180111917e-01	1.000e+00
LINC00115	4.9	2.2824	8.491175943e-02	1.000e+00
FAM41C	8.9	0.4607	5.790896205e-01	1.000e+00
NOC2L	387.4	-0.055	7.667800326e-01	1.000e+00
KLHL17	4.9	0.3206	7.889427907e-01	1.000e+00
PLEKHN1	0.3	1.4235	7.736425767e-01	1.000e+00
ISG15	253	-0.716	8.701365322e-03	1.000e+00
AGRN	246.9	0.1016	6.273093305e-01	1.000e+00
C1orf159	41.8	0.3567	4.097964747e-01	1.000e+00
TNFRSF18	0.1	1.4235	7.757256670e-01	1.000e+00
SDF4	89.9	-0.1724	5.750658737e-01	1.000e+00
B3GALT6	2.7	-1.0214	4.943359242e-01	1.000e+00
FAM132A	0.9	-0.6146	8.159912789e-01	1.000e+00
RP5-902P8.12	0.1	1.4171	7.767246187e-01	1.000e+00
UBE2J2	359.2	0.0472	7.969542392e-01	1.000e+00
RP5-902P8.10	0.1	0	1.000000000e+00	1.000e+00
SCNN1D	1	-1.5758	5.715356955e-01	1.000e+00
ACAP3	17.1	0.261	6.826686680e-01	1.000e+00
PUSL1	113.4	-0.3347	1.984880293e-01	1.000e+00
CPSF3L	1228.1	-0.1667	2.941460599e-01	1.000e+00
GLTPD1	240.6	-0.2549	3.306502839e-01	1.000e+00
TAS1R3	198.7	-0.4977	3.683694349e-02	1.000e+00
DVL1	37.5	-0.3129	4.504572999e-01	1.000e+00
MXRA8	0.7	-0.0419	9.896238207e-01	1.000e+00
AURKAIP1	808	-0.2435	1.864511195e-01	1.000e+00
CCNL2	601.6	0.3521	5.618094198e-02	1.000e+00
RP4-758J18.2	190.7	0.0514	8.240190037e-01	1.000e+00
MRPL20	356.7	-0.2182	3.048555458e-01	1.000e+00
RP4-758J18.13	13.1	0.4964	5.005516874e-01	1.000e+00
RP4-758J18.7	0.1	0	1.000000000e+00	1.000e+00
RP4-758J18.10	0.2	0	1.000000000e+00	1.000e+00
VWA1	0.4	2.4245	5.585633053e-01	1.000e+00
ATAD3C	2	0.9688	5.715406020e-01	1.000e+00
ATAD3B	22.4	-0.8603	1.113694767e-01	1.000e+00
ATAD3A	27.9	-0.4409	3.681965435e-01	1.000e+00
SSU72	516.8	0.0242	8.798561494e-01	1.000e+00
AL645728.1	1.7	0.7076	7.121577085e-01	1.000e+00
RP11-345P4.9	10.7	0.0577	9.424862375e-01	1.000e+00
MIB2	27.5	0.8811	8.516006162e-02	1.000e+00
MMP23B	3.9	0.225	8.670761349e-01	1.000e+00
CDK11B	96.4	-0.0613	8.268835050e-01	1.000e+00
SLC35E2B	428.8	-0.0433	8.058033024e-01	1.000e+00
RP11-345P4.7	5.5	-1.4689	1.923791794e-01	1.000e+00
CDK11A	517.7	0.2847	1.095622848e-01	1.000e+00
SLC35E2	42	0.0621	8.765593265e-01	1.000e+00
NADK	192.8	-0.013	9.517226717e-01	1.000e+00
GNB1	173.2	-0.1361	5.717096913e-01	1.000e+00
RP1-140A9.1	1.4	-1.3516	4.937540287e-01	1.000e+00
CALML6	0.3	-0.0142	9.977026641e-01	1.000e+00
TMEM52	3	-0.2048	8.823547471e-01	1.000e+00
C1orf222	0.7	-1.6209	5.877431201e-01	1.000e+00
PRKCZ	0.1	0	1.000000000e+00	1.000e+00
RP11-181G12.2	1.2	-0.0175	9.949387651e-01	1.000e+00
C1orf86	80.6	-0.2493	4.294722076e-01	1.000e+00
SKI	34.4	-0.2559	5.605677015e-01	1.000e+00
MORN1	48.1	-0.5488	1.602575918e-01	1.000e+00
AL589739.1	0.5	-0.0475	9.901997770e-01	1.000e+00
RER1	1908.6	0.0535	7.150982992e-01	1.000e+00
