gene	baseMean	log2FoldChange	pvalue	padj
TMCC2	5320.8	1.8265	1.187034238e-50	2.228e-46
FOS	963.2	0.88	3.861449357e-09	3.624e-05
CROCCP2	459.5	-0.6973	7.777509797e-06	4.867e-02
HBG1	16091.6	0.5233	9.305123569e-05	7.538e-02
EGR1	709.1	0.5072	1.002520496e-03	6.383e-01
RBM6	459.1	-0.5629	4.222204366e-04	8.807e-01
NEAT1	2843.8	-0.4948	2.355996357e-03	8.807e-01
JUNB	1485.9	0.4377	2.269938368e-03	8.807e-01
SLC37A1	380.1	0.5522	2.358322013e-03	8.807e-01
RBM39	1689.4	-0.4113	3.327402840e-03	9.464e-01
KDM5D	886.6	-0.4096	3.354156148e-03	9.464e-01
OR4F5	0.3	-2.4283	5.779497323e-01	1.000e+00
RP11-34P13.7	3.7	-0.2859	8.043829351e-01	1.000e+00
AL627309.1	7.3	-0.4334	6.164007576e-01	1.000e+00
RP11-34P13.9	0.6	-1.4319	6.853747264e-01	1.000e+00
AP006222.2	71.1	-0.1237	6.707548825e-01	1.000e+00
RP4-669L17.10	1.1	-0.9765	6.359562746e-01	1.000e+00
RP5-857K21.4	0.9	1.9976	4.831185702e-01	1.000e+00
RP11-206L10.3	0.7	0.9288	7.612846371e-01	1.000e+00
RP11-206L10.4	0.1	0.9762	8.305723142e-01	1.000e+00
RP11-206L10.2	6	0.4299	6.652458896e-01	1.000e+00
RP11-206L10.9	2.7	-0.8274	5.523053335e-01	1.000e+00
FAM87B	4.1	-1.0364	4.184462592e-01	1.000e+00
LINC00115	4.9	-0.4632	6.500909895e-01	1.000e+00
FAM41C	8.9	-0.2264	7.610248286e-01	1.000e+00
NOC2L	387.4	0.0345	8.386543381e-01	1.000e+00
KLHL17	4.9	0.4838	6.447445549e-01	1.000e+00
PLEKHN1	0.3	-0.471	9.169683634e-01	1.000e+00
ISG15	253	0.3727	1.375710261e-01	1.000e+00
AGRN	246.9	-0.1865	3.295490322e-01	1.000e+00
C1orf159	41.8	-0.2784	4.779654412e-01	1.000e+00
TNFRSF18	0.1	-1.4328	7.534227618e-01	1.000e+00
SDF4	89.9	0.322	2.496491596e-01	1.000e+00
B3GALT6	2.7	-0.9427	5.337831248e-01	1.000e+00
FAM132A	0.9	-1.4711	5.726449662e-01	1.000e+00
RP5-902P8.12	0.1	-1.4265	7.545120838e-01	1.000e+00
UBE2J2	359.2	-0.021	8.999623988e-01	1.000e+00
RP5-902P8.10	0.1	0.9762	8.305723142e-01	1.000e+00
SCNN1D	1	1.0062	7.020358532e-01	1.000e+00
ACAP3	17.1	-0.2463	6.713084566e-01	1.000e+00
PUSL1	113.4	0.3073	1.976146227e-01	1.000e+00
CPSF3L	1228.1	0.0438	7.632075165e-01	1.000e+00
GLTPD1	240.6	0.115	6.317402694e-01	1.000e+00
TAS1R3	198.7	0.582	7.570610896e-03	1.000e+00
DVL1	37.5	-0.3068	4.311108825e-01	1.000e+00
MXRA8	0.7	1.0102	7.210566118e-01	1.000e+00
AURKAIP1	808	0.1091	5.176286520e-01	1.000e+00
CCNL2	601.6	-0.3002	7.383804028e-02	1.000e+00
RP4-758J18.2	190.7	-0.2426	2.523613822e-01	1.000e+00
MRPL20	356.7	0.0647	7.399267607e-01	1.000e+00
RP4-758J18.13	13.1	0.3018	6.389945833e-01	1.000e+00
RP4-758J18.7	0.1	0.9762	8.305723142e-01	1.000e+00
RP4-758J18.10	0.2	0.9762	8.305723142e-01	1.000e+00
VWA1	0.4	-1.4721	6.954654487e-01	1.000e+00
ATAD3C	2	-0.8509	5.786455318e-01	1.000e+00
ATAD3B	22.4	0.313	5.379087239e-01	1.000e+00
ATAD3A	27.9	-0.1977	6.677730331e-01	1.000e+00
SSU72	516.8	0.0805	5.807865079e-01	1.000e+00
AL645728.1	1.7	-0.9586	5.863551043e-01	1.000e+00
RP11-345P4.9	10.7	0.4145	5.613843508e-01	1.000e+00
MIB2	27.5	-0.3227	4.729117971e-01	1.000e+00
MMP23B	3.9	0.845	4.672513543e-01	1.000e+00
CDK11B	96.4	-0.1146	6.564857850e-01	1.000e+00
SLC35E2B	428.8	6e-04	9.970837042e-01	1.000e+00
RP11-345P4.7	5.5	0.2979	7.838832062e-01	1.000e+00
