NC7_1_S11	NC7_2_S12	NC7_3_S13	TMCC_6_1_S14	TMCC_6_2_S15	TMCC_9_2_S16	TMCC_9_3_S17	genes
0	0	0	0	0	0	0	MIR1302-10
0	0	0	0	0	0	0	FAM138A
0	0	0	0	0	1	1	OR4F5
3	5	3	3	3	7	2	RP11-34P13.7
0	0	0	0	0	0	0	RP11-34P13.8
10	5	4	4	12	10	7	AL627309.1
0	0	0	0	0	0	0	RP11-34P13.14
0	0	0	0	3	0	1	RP11-34P13.9
65	68	67	80	71	71	76	AP006222.2
0	2	1	0	1	2	2	RP4-669L17.10
0	0	0	0	0	0	0	OR4F29
0	0	0	0	0	0	0	RP4-669L17.2
0	0	0	0	0	0	0	RP5-857K21.15
0	0	0	0	0	0	0	RP5-857K21.1
0	0	0	0	0	0	0	RP5-857K21.2
0	0	0	0	0	0	0	RP5-857K21.3
0	0	2	1	3	0	0	RP5-857K21.4
0	0	0	0	0	0	0	RP5-857K21.5
0	0	0	0	0	0	0	OR4F16
3	0	0	1	0	1	0	RP11-206L10.3
0	0	0	0	0	0	0	RP11-206L10.5
0	1	0	0	0	0	0	RP11-206L10.4
6	8	6	4	8	9	1	RP11-206L10.2
4	1	1	4	2	2	5	RP11-206L10.9
0	0	0	0	0	0	0	AL669831.1
0	6	2	1	9	4	7	FAM87B
3	7	6	3	0	8	7	LINC00115
9	12	6	8	7	9	12	FAM41C
0	0	0	0	0	0	0	AL645608.2
0	0	0	0	0	0	0	RP11-54O7.16
0	0	0	0	0	0	0	RP11-54O7.1
0	0	0	0	0	0	0	RP11-54O7.2
0	0	0	0	0	0	0	RP11-54O7.3
0	0	0	0	0	0	0	SAMD11
0	0	0	0	0	0	0	AL645608.1
373	459	340	380	405	417	351	NOC2L
9	6	4	6	1	6	3	KLHL17
0	1	0	0	0	0	1	PLEKHN1
0	0	0	0	0	0	0	C1orf170
0	0	0	0	0	0	0	RP11-54O7.17
0	0	0	0	0	0	0	HES4
0	0	0	0	0	0	0	RP11-54O7.11
180	334	236	365	264	209	182	ISG15
213	255	232	248	245	285	253	AGRN
0	0	0	0	0	0	0	RP11-54O7.18
0	0	0	0	0	0	0	RNF223
29	54	37	45	30	47	51	C1orf159
0	0	0	0	0	0	0	RP11-465B22.5
0	0	0	0	0	0	0	RP11-465B22.8
0	0	0	0	0	0	0	TTLL10-AS1
0	0	0	0	0	0	0	TTLL10
0	0	0	0	0	0	1	TNFRSF18
0	0	0	0	0	0	0	TNFRSF4
85	110	99	92	84	91	68	SDF4
2	2	0	5	5	1	4	B3GALT6
0	0	1	2	1	0	2	FAM132A
0	0	0	0	0	1	0	RP5-902P8.12
356	374	349	344	359	344	394	UBE2J2
0	1	0	0	0	0	0	RP5-902P8.10
