chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr11	66675796	66676046	76.4	-4	8.921e-31	1.043e-26
chr17	42345485	42345735	119.2	-3.7	7.008e-31	1.043e-26
chr20	44844597	44844847	62.6	4.3	4.274e-31	1.043e-26
chr1	45504696	45504946	25.7	4	5.047e-28	1.225e-23
chr1	23840628	23840878	97.1	-3.5	3.989e-26	2.662e-22
chr22	18348229	18348479	45.4	-3.5	2.684e-26	2.662e-22
chr2	150076415	150076665	23.1	4	4.130e-26	5.725e-22
chr21	43885605	43885855	31.4	3.8	9.983e-26	9.374e-22
chr20	3823141	3823391	30.4	3.2	8.734e-25	7.290e-21
chr3	5020739	5020989	40.1	3.2	1.673e-24	1.145e-20
chr9	126964826	126965076	37.9	2.7	5.250e-24	3.305e-20
chr11	119565054	119565304	26.9	3.8	9.614e-24	7.824e-20
chr2	121832672	121832922	29.8	3.2	1.867e-23	1.079e-19
chr7	55625473	55625723	34.2	3.7	3.456e-23	1.780e-19
chr5	138568001	138568251	27.3	3.6	3.821e-23	2.633e-19
chr8	123580167	123580417	28.9	3.8	7.817e-23	3.744e-19
chr3	45615640	45615890	32.9	4.2	1.822e-22	7.735e-19
chr6	17962721	17962971	44.5	2.8	2.363e-22	7.735e-19
chr1	110336988	110337238	49.6	3.2	2.625e-22	8.221e-19
chr17	42359028	42359278	123.7	-2.5	7.806e-22	1.126e-18
chr19	33162787	33163037	25.6	3.3	3.187e-22	1.568e-18
chr16	69760267	69760517	40.7	2.7	6.433e-22	2.017e-18
chr19	3503053	3503303	153.4	-2.3	1.724e-21	2.017e-18
chr11	75491084	75491334	131.2	-3.3	1.684e-21	2.024e-18
chr15	31556116	31556366	86.2	-2.5	1.854e-21	2.143e-18
chr1	204660458	204660708	65.4	-3.6	1.068e-21	2.707e-18
chr6	160452956	160453206	29.8	-3.9	9.379e-22	2.707e-18
chr9	99814155	99814405	23.5	3.6	1.448e-21	6.032e-18
chr22	25550219	25550469	27.3	3.3	2.010e-21	6.727e-18
chr20	44507049	44507299	35.7	-3.1	2.759e-21	7.047e-18
chr7	30951218	30951468	22.2	-3.2	2.056e-21	7.735e-18
chr17	74030554	74030804	78.9	-2.2	8.611e-21	9.440e-18
chr2	218706847	218707097	79.9	-3.1	1.145e-20	1.218e-17
chr22	30758992	30759242	47.9	-2.4	1.698e-20	2.943e-17
chr3	46655984	46656234	60.8	-3.8	2.069e-20	3.150e-17
chr1	111757220	111757470	28.4	3.8	1.240e-20	3.365e-17
chr10	4983841	4984091	64.1	-2.8	3.119e-20	4.439e-17
chr12	32207086	32207336	52.2	-3	2.759e-20	4.971e-17
chr2	145606094	145606344	21.1	4.3	2.455e-20	5.558e-17
chr14	55239980	55240230	26.5	2.9	2.766e-20	7.147e-17
chr9	19748759	19749009	27.5	4.1	3.420e-20	7.903e-17
chr9	127888378	127888628	32.8	3.9	4.345e-20	7.903e-17
chr14	106311802	106312052	31.5	-2.6	5.283e-20	9.229e-17
chr17	42325378	42325628	33.5	-3.5	5.771e-20	1.005e-16
chr3	49062920	49063170	43.8	2.8	9.810e-20	1.463e-16
chr5	37182896	37183146	29.3	-4.4	9.153e-20	1.463e-16
chr10	111981071	111981321	55.1	-3.2	1.122e-19	1.463e-16
chr2	43952289	43952539	25	3.2	8.071e-20	1.592e-16
chr3	126630341	126630591	43	3.6	1.321e-19	1.604e-16
chr15	33970883	33971133	17.5	4	1.092e-19	1.929e-16
chr20	15509060	15509310	22.9	4.2	1.048e-19	1.946e-16
chr6	119651978	119652228	100.5	-2.4	4.000e-19	2.181e-16
chr9	14395756	14396006	87.8	-3.1	3.254e-19	2.181e-16
chr3	193973341	193973591	60.8	2.8	2.342e-19	2.285e-16
chr1	43418240	43418490	82.1	-2.1	4.772e-19	2.507e-16
chr8	130705026	130705276	17.8	4.4	1.487e-19	2.577e-16
chr11	17625866	17626116	32.5	-2.9	2.095e-19	2.817e-16
chr12	699451	699701	44	-3.7	2.519e-19	2.974e-16
chr3	128292762	128293012	35	-3	2.729e-19	3.545e-16
chr10	61787915	61788165	25	3.4	2.344e-19	3.814e-16
chr20	30298323	30298573	83.5	-3.1	6.278e-19	3.876e-16
chr11	10921140	10921390	60.3	2.2	5.207e-19	4.424e-16
chr13	39975914	39976164	22.7	3.3	2.655e-19	4.915e-16
chr2	86161315	86161565	27.1	3.9	3.164e-19	5.031e-16
chr21	43648162	43648412	44.2	3.5	5.378e-19	5.031e-16
chr10	121065617	121065867	40.6	3.1	5.161e-19	5.486e-16
chr20	12907128	12907378	17.4	4.3	3.952e-19	5.724e-16
chr19	703707	703957	35.3	2.9	5.242e-19	5.907e-16
chr1	146555993	146556243	21.5	3.5	4.493e-19	6.166e-16
chr8	49557956	49558206	26.6	-3.5	5.380e-19	7.506e-16
chr14	93035112	93035362	44.3	2.7	9.221e-19	7.653e-16
chr2	268426	268676	70.7	-3	1.315e-18	9.528e-16
chr22	37948813	37949063	79.4	-2.7	2.584e-18	1.023e-15
chr12	27170345	27170595	20.1	3.3	7.827e-19	1.234e-15
chr9	3548719	3548969	54.6	-4.5	1.631e-18	1.309e-15
chr16	84048017	84048267	36.7	2.9	1.498e-18	1.365e-15
chr17	42324843	42325093	36.1	-3.4	1.534e-18	1.527e-15
chr13	44933773	44934023	23.9	3.2	1.232e-18	1.532e-15
chr17	57442897	57443147	17.7	4.5	1.225e-18	1.610e-15
chr3	126793854	126794104	22	4.6	1.177e-18	1.716e-15
chr11	68463104	68463354	22.9	4.1	1.202e-18	1.731e-15
chr17	4409601	4409851	26	2.7	1.522e-18	1.801e-15
chr15	62386624	62386874	28.7	3.2	1.502e-18	1.871e-15
chr16	71498179	71498429	64.7	-4.1	3.048e-18	1.934e-15
chr10	120458051	120458301	19.5	3.5	2.320e-18	2.410e-15
chr8	54797200	54797450	23.7	3.8	1.869e-18	2.520e-15
chr15	76239568	76239818	46.9	-3.6	3.684e-18	2.520e-15
chr15	82310554	82310804	24.5	4.1	2.114e-18	2.802e-15
chr2	129230740	129230990	49.5	3.8	4.725e-18	3.159e-15
chr8	65543092	65543342	22	3.4	3.092e-18	3.555e-15
chr4	154694554	154694804	79.5	-2.6	8.680e-18	3.593e-15
chr1	234845719	234845969	54.5	-3	6.558e-18	4.246e-15
chr8	81777044	81777294	29	4.3	5.202e-18	4.246e-15
chr21	36078733	36078983	16.2	4.1	4.632e-18	4.694e-15
chr4	184377062	184377312	17.4	3.7	4.931e-18	4.945e-15
chr18	23554730	23554980	16.2	3.1	6.111e-18	5.621e-15
chr15	40842198	40842448	42.8	-4.2	7.143e-18	5.643e-15
chr10	126366768	126367018	70.6	-3.4	1.066e-17	5.675e-15
chr11	61637316	61637566	53.6	2.5	9.244e-18	5.675e-15
chr14	81889945	81890195	23.8	2.9	6.037e-18	5.858e-15
chr9	134226318	134226568	23	4.1	6.971e-18	6.535e-15
chr5	89940052	89940302	42.4	-3.2	1.051e-17	7.070e-15
chr14	103826957	103827207	76.7	-2.6	2.682e-17	7.070e-15
chr1	94033043	94033293	21.9	3.6	9.780e-18	9.719e-15
chr11	113551999	113552249	80.8	-3.6	3.092e-17	1.033e-14
chr17	4794843	4795093	30	-3.1	1.271e-17	1.164e-14
chr8	129057247	129057497	41.2	3	1.878e-17	1.201e-14
chr12	50262922	50263172	26.7	2.6	1.427e-17	1.365e-14
chr10	96059294	96059544	31.7	3.1	2.292e-17	1.611e-14
chr14	103183636	103183886	17.2	3.4	1.908e-17	1.801e-14
chr18	60517911	60518161	17.9	3.6	1.791e-17	1.865e-14
chr21	40356974	40357224	20.6	3.5	2.148e-17	1.865e-14
chr3	4061204	4061454	18	4.4	2.359e-17	2.026e-14
chr1	28499231	28499481	23.7	2.9	2.387e-17	2.164e-14
chr1	108559068	108559318	29.1	3.7	3.321e-17	2.169e-14
chr2	16620278	16620528	21.2	3.6	2.873e-17	2.187e-14
chr2	68579795	68580045	31.5	2.4	2.831e-17	2.200e-14
chr8	54643886	54644136	15.4	3.3	2.501e-17	2.200e-14
chr5	177876186	177876436	22.3	3	2.394e-17	2.346e-14
chr22	41079136	41079386	26.2	3.2	3.012e-17	2.452e-14
chr5	64396762	64397012	118.7	-2.9	1.134e-16	2.486e-14
chr12	2071279	2071529	23.4	-3.8	3.805e-17	2.953e-14
chr11	93530066	93530316	31.2	-4.5	3.751e-17	2.959e-14
chr4	68417977	68418227	27	3.1	4.484e-17	3.424e-14
chr5	67778059	67778309	33	-3.4	6.027e-17	3.477e-14
chr4	77222675	77222925	16.5	4.6	4.738e-17	3.582e-14
chr11	2323297	2323547	49.9	1.9	8.453e-17	4.008e-14
chr3	58038199	58038449	31.9	4.2	6.734e-17	4.032e-14
chr8	74432887	74433137	37.5	3.5	8.028e-17	4.228e-14
chr17	15862545	15862795	28.2	2.4	5.277e-17	4.228e-14
chr1	12145800	12146050	14.3	4	5.651e-17	4.315e-14
chr1	229091472	229091722	18	3.8	5.711e-17	4.492e-14
chr19	30384623	30384873	17.9	3.3	6.820e-17	4.884e-14
chr9	123487358	123487608	16.5	3.7	6.542e-17	5.056e-14
chr16	1772197	1772447	22.7	3	5.852e-17	5.056e-14
chr1	226190559	226190809	45.7	2.5	1.187e-16	5.193e-14
chr10	102106693	102106943	30.2	2.5	1.036e-16	5.795e-14
chr10	103877248	103877498	49.4	1.7	1.364e-16	5.951e-14
chr3	152747196	152747446	63.9	-2.9	1.673e-16	6.339e-14
chr17	46129247	46129497	32.6	3	9.817e-17	6.804e-14
chr13	66042802	66043052	17.6	4.5	1.261e-16	8.680e-14
chr4	40227564	40227814	13	4.9	1.273e-16	8.969e-14
chr7	106750420	106750670	67.9	-2.6	2.539e-16	9.259e-14
chr16	134821	135071	32.7	2.3	1.851e-16	9.655e-14
chr5	95417226	95417476	26.5	-3.4	1.617e-16	1.145e-13
chr8	21916379	21916629	64.1	-2.1	3.155e-16	1.145e-13
chr22	24830548	24830798	24.6	3	2.008e-16	1.294e-13
chr5	37672377	37672627	30	2.9	2.571e-16	1.305e-13
chr1	22091181	22091431	20.6	3.9	1.698e-16	1.329e-13
chr2	74413143	74413393	36.8	2.6	2.706e-16	1.383e-13
chr6	111738336	111738586	14.2	3.5	2.370e-16	1.386e-13
chr8	49792730	49792980	31.1	-4	2.318e-16	1.393e-13
chr12	53097736	53097986	20.8	3.6	2.521e-16	1.569e-13
chr11	119997394	119997644	13.1	4.7	2.773e-16	1.727e-13
chr2	131951078	131951328	28.1	-3.3	3.283e-16	2.069e-13
chr15	34624101	34624351	16.1	3.4	3.191e-16	2.124e-13
chr3	196126482	196126732	22.8	2.8	3.565e-16	2.150e-13
chr3	194208711	194208961	18.5	3.1	3.732e-16	2.250e-13
chr8	21366836	21367086	24.3	3.2	4.089e-16	2.999e-13
chr12	41906418	41906668	22.7	-3.7	4.217e-16	3.074e-13
chr1	93010337	93010587	21.2	4.4	4.830e-16	3.456e-13
chr6	164463370	164463620	38.6	2.3	7.987e-16	3.456e-13
chr18	29598463	29598713	29.5	2.4	5.762e-16	3.456e-13
chr6	31669760	31670010	47.2	-2.7	9.743e-16	3.533e-13
chr7	6218189	6218439	76.3	-2.9	1.530e-15	3.533e-13
chr22	25472447	25472697	21	3	6.316e-16	3.603e-13
chr5	139058730	139058980	20.7	2.8	7.571e-16	4.003e-13
chr7	5497579	5497829	32.4	2.4	9.837e-16	4.399e-13
